"04e1b1b4-0c93-4b53-94dd-3a9557b3afad","Penn","0101-01-01T00:00:00.000Z","ccc@ccc.ccc","ccc","{ ""none"" } ","ccc"
"07a74f97-5d89-4818-8751-af9f029c9a47","328j","0222-02-22T00:00:00.000Z","iajfei@ggmail.com","iii","{ ""hi"" } ","iii"
"09f610f8-935f-470e-80ea-fc1586804d13","starbucks","0033-03-31T00:00:00.000Z","coffee@gmail.com","cof","{ ""haifio"" } ","fee"
"0c303656-a0f9-4cd4-9305-f42a5f5882e8","Penn","1212-12-12T00:00:00.000Z","bbb@bbb.com","bbb","{ ""food"", ""sleep"" } ","bbb"
"244eae1c-5452-48d8-bac5-e154f0a68644","Drexel","2411-11-03T00:00:00.000Z","zzz@zzzz.com","zion","{ ""drink"", ""sleep"" } ","zzzz"
"3025f1e7-c05b-48ba-8475-725b3dbd96ef","penn","0044-04-04T00:00:00.000Z","seffes@upenn.edu","no","{ ""d"" } ","name"
"3db24246-7c7c-4a41-8b21-1fb207e44934","penn","0003-03-31T00:00:00.000Z","yeonj@sas.upenn.edu","yeon","{ ""D"" } ","sesef"
"472abacb-658f-4b24-9efc-2eff4190cc90","1111","0001-11-11T00:00:00.000Z","maiemi@gmail.com","aaa","{ ""a"" } ","agagoi"
"627ed7bf-875e-4ed6-849e-bcafd89ff20e","aa","1111-11-11T00:00:00.000Z","aaa@gmail.com","mr","{ ""a"" } ","a"
"692d355d-63a7-49ac-bfe5-f6716ea4f4cb","None","1212-12-12T00:00:00.000Z","demo@account.com","demo","{ ""food"" } ","account"
"6cea80f6-76af-4c9a-8388-c45740a3d6ff","fsefes","0034-03-04T00:00:00.000Z","sef@upenn.edu","jason ","{ ""sef"" } ","dd"
"7ac439e6-7535-4c59-b8bb-66c6d0e51bd6","jaifoj","0022-02-22T00:00:00.000Z","gaior@ggmail.com","agoiehoi","{ ""h"" } ","ioagio"
"9c77b9e5-5dd0-42c9-b9b2-c69781870f4c","Penn","1992-10-28T00:00:00.000Z","yeonj@sas.upenn.edu","jason","{ ""3"" } ","jung"
"a9cfc7f2-7600-4ce4-9b1f-7f89750a2c3f","Drexel","2004-02-04T00:00:00.000Z","1sdf223@jkjk.com","hyun","{ ""demo"", ""final"" } ","jung"
"b7029053-3cc9-4d83-be1a-7efb25c1503e","pqpq","1342-02-21T00:00:00.000Z","ppqq@pqpq.com","pqpq","{ ""cooking"" } ","ppqq"
"d16fc9da-998c-4024-b8da-44953bc2aee2","penn","0299-01-01T00:00:00.000Z","syan@gmail.com","seyoung","{ ""sleep"" } ","an"
"f2c9aac3-765c-443b-9689-442632697786","Penn","3232-11-09T00:00:00.000Z","ddd@upenn.edu","erin","{ ""food"" } ","jung"
"fbc75345-ddc1-4574-ae1e-9e6f25266002","afiehio","0222-02-22T00:00:00.000Z","am@ggmail.com","adam","{ ""jijafief"" } ","m"
